Player,Pos,Squad,Age,Min,,,,
Cebio Soukou,FW,Sandhausen,30.64657534,446,30,658,1.802739726,31.80273973
Marcel Sobottka,MF,Düsseldorf,29.08493151,2062,29,493,1.350684932,30.35068493
Eric Smith,DF,St. Pauli,26.37808219,2175,26,808,2.21369863,28.21369863
Dennis Smarsch,GK,St. Pauli,24.36164384,540,24,164,0.449315068,24.44931507
Steven Skrzybski,FW,Holstein Kiel,30.51780822,2475,30,781,2.139726027,32.13972603
Sarpreet Singh,MF,Jahn R'burg,24.26027397,1023,24,027,0.073972603,24.0739726
Tim Siersleben,DF,Heidenheim,23.21369863,2183,23,137,0.375342466,23.37534247
Armindo Sieb,FW,Greuther Fürth,20.26849315,1602,20,849,2.326027397,22.3260274
Silvan Sidler,DF,Arminia,24.88493151,367,24,493,1.350684932,25.35068493
Arne Sicker,DF,Sandhausen,26.10684932,902,26,685,1.876712329,27.87671233
Erik Shuranov,FW,Nürnberg,21.25479452,351,21,479,1.312328767,22.31232877
Nicklas Shipnoski,MF,Jahn R'burg,25.39726027,964,25,726,1.989041096,26.9890411
Aaron Seydel,FW,Darmstadt 98,27.29589041,159,27,589,1.61369863,28.61369863
Nils Seufert,MF,Greuther Fürth,26.30684932,22,26,685,1.876712329,27.87671233
Kevin Sessa,MF,Heidenheim,22.88767123,1547,22,767,2.101369863,24.10136986
Janni Serra,FW,Arminia,25.20273973,1493,25,274,0.750684932,25.75068493
Tim Sechelmann,DF,Magdeburg,24.35890411,402,24,589,1.61369863,25.61369863
Léo Scienza,FW,Magdeburg,24.69863014,230,24,863,2.364383562,26.36438356
Marco Schuster,MF,Paderborn 07,27.62465753,573,27,466,1.276712329,28.27671233
Kevin Schumacher,MF,Hansa Rostock,25.41917808,1698,25,918,2.515068493,27.51506849
Marvin Schulz,DF,Holstein Kiel,28.35890411,1719,28,589,1.61369863,29.61369863
Michael Schultz,DF,Braunschweig,29.9890411,551,29,904,2.476712329,31.47671233
Marcel Schuhen,GK,Darmstadt 98,30.36438356,2835,30,438,1.2,31.2
Morris Schröter,DF,Hansa Rostock,27.76438356,433,27,438,1.2,28.2
Tim Schreiber,GK,Holstein Kiel,21.08767123,850,21,767,2.101369863,23.10136986
Jan Schöppner,MF,Heidenheim,23.95342466,2145,23,342,0.936986301,23.9369863
Sebastian Schonlau,DF,Hamburger SV,28.80547945,2537,28,548,1.501369863,29.50136986
Fabian Schnellhardt,MF,Darmstadt 98,29.36712329,1779,29,712,1.950684932,30.95068493
Fabian Schleusener,FW,Karlsruher,31.58630137,2501,31,863,2.364383562,33.36438356
Lukas Schleimer,MF,Nürnberg,23.46027397,663,23,027,0.073972603,23.0739726
Christopher Schindler,DF,Nürnberg,33.0739726,2273,33,397,1.087671233,34.08767123
Stefan Schimmer,FW,Heidenheim,29.07671233,716,29,671,1.838356164,30.83835616
Lukas Scherff,MF,Hansa Rostock,26.86575342,504,26,575,1.575342466,27.57534247
Louis Schaub,MF,Hannover 96,28.40547945,1308,28,548,1.501369863,29.50136986
Ron Schallenberg,MF,Paderborn 07,24.60821918,2873,24,822,2.252054795,26.25205479
Leon Schaffran,GK,Greuther Fürth,24.81917808,405,24,918,2.515068493,26.51506849
Dominik Schad,DF,Kaiserslautern,26.22739726,258,26,274,0.750684932,26.75068493
Tom Sanne,MF,Hamburger SV,19.11780822,11,19,781,2.139726027,21.13972603
Philipp Sander,MF,Holstein Kiel,25.25753425,2233,25,753,2.063013699,27.0630137
Benedikt Saller,DF,Jahn R'burg,30.6739726,1423,30,397,1.087671233,31.08767123
Manolis Saliakas,MF,St. Pauli,26.70136986,2645,26,137,0.375342466,26.37534247
Elias Saad,FW,St. Pauli,23.4109589,345,23,096,0.263013699,23.2630137
Marc Rzatkowski,MF,Arminia,33.23287671,1292,33,288,0.789041096,33.7890411
Tim Rossmann,MF,Karlsruher,19.5369863,229,19,699,1.915068493,20.91506849
Damian Roßbach,DF,Hansa Rostock,30.24109589,2281,30,411,1.126027397,31.1260274
Frank Ronstadt,MF,Darmstadt 98,25.84657534,1028,25,658,1.802739726,26.80273973
Maximilian Rohr,DF,Paderborn 07,27.91232877,1557,27,233,0.638356164,27.63835616
Maximilian Rohr,MF,Hamburger SV,27.91232877,220,27,233,0.638356164,27.63835616
Marcel Ritzmaier,MF,Sandhausen,30.09315068,321,30,315,0.863013699,30.8630137
Lars Ritzka,DF,St. Pauli,25.05205479,222,25,205,0.561643836,25.56164384
Marvin-Lee Rittmüller,DF,Heidenheim,24.21917808,258,24,918,2.515068493,26.51506849
Marlon Ritter,MF,Kaiserslautern,28.6109589,2352,28,096,0.263013699,28.2630137
Clemens Riedel,DF,Darmstadt 98,19.85205479,810,19,205,0.561643836,19.56164384
Julian Rieckmann,MF,Magdeburg,22.81643836,172,22,644,1.764383562,23.76438356
Simon Rhein,MF,Hansa Rostock,25.02191781,899,25,192,0.526027397,25.5260274
Bashkim Renneke,DF,Sandhausen,30.45753425,1695,30,753,2.063013699,32.0630137
Ludovit Reis,MF,Hamburger SV,22.98356164,2844,22,356,0.975342466,22.97534247
Dominik Reimann,GK,Magdeburg,25.9369863,2700,25,699,1.915068493,26.91506849
Nikolai Rehnen,GK,Sandhausen,26.30410959,360,26,411,1.126027397,27.1260274
Fabian Reese,MF,Holstein Kiel,25.48767123,2670,25,767,2.101369863,27.10136986
Kenny Redondo,MF,Kaiserslautern,28.73972603,1520,28,973,2.665753425,30.66575342
Tobias Raschl,MF,Greuther Fürth,23.25753425,1775,23,753,2.063013699,25.0630137
Simone Rapp,FW,Karlsruher,30.64931507,524,30,932,2.553424658,32.55342466
Nicolai Rapp,MF,Kaiserslautern,26.44931507,787,26,931,2.550684932,28.55068493
Melvin Ramusović,MF,Heidenheim,21.93424658,5,21,425,1.164383562,22.16438356
Guilherme Ramos,DF,Arminia,25.7890411,1669,25,904,2.476712329,27.47671233
Sidney Raebiger,MF,Greuther Fürth,18.10684932,12,18,685,1.876712329,19.87671233
Matheo Raab,GK,Hamburger SV,24.43561644,90,24,562,1.539726027,25.53972603
Elidon Qenaj,FW,Heidenheim,20.0109589,17,20,096,0.263013699,20.2630137
Afimico Pululu,FW,Greuther Fürth,24.17534247,150,24,534,1.463013699,25.4630137
Matěj Pulkrab,FW,Sandhausen,26.00821918,777,26,822,2.252054795,28.25205479
Kai Pröger,FW,Hansa Rostock,31.03013699,2461,31,014,0.038356164,31.03835616
Manuel Prietl,MF,Arminia,31.8109589,1305,31,096,0.263013699,31.2630137
Nicolas de Préville,FW,Kaiserslautern,32.37808219,192,32,808,2.21369863,34.21369863
Finn Porath,MF,Holstein Kiel,26.25205479,1220,26,205,0.561643836,26.56164384
Felix Platte,FW,Paderborn 07,27.28493151,1257,27,493,1.350684932,28.35068493
Jakub Piotrowski,MF,Düsseldorf,25.64109589,15,25,411,1.126027397,26.1260274
Marvin Pieringer,FW,Paderborn 07,23.64109589,1442,23,411,1.126027397,24.1260274
Florian Pick,MF,Heidenheim,27.71232877,1149,27,233,0.638356164,27.63835616
Benedikt Pichler,FW,Holstein Kiel,25.84931507,580,25,932,2.553424658,27.55342466
Cristiano Piccini,DF,Magdeburg,30.6630137,919,30,301,0.824657534,30.82465753
Immanuel Pherai,MF,Braunschweig,22.08493151,1689,22,493,1.350684932,23.35068493
Patric Pfeiffer,DF,Darmstadt 98,23.76438356,1686,23,438,1.2,24.2
Lukas Petkov,MF,Greuther Fürth,22.56438356,519,22,438,1.2,23.2
Kristoffer Peterson,MF,Düsseldorf,28.49041096,1184,28,041,0.112328767,28.11232877
Enrique Peña Zauner,MF,Braunschweig,23.22739726,33,23,274,0.750684932,23.75068493
Leart Paqarada,MF,St. Pauli,28.63013699,2727,28,014,0.038356164,28.03835616
Matondo-Merveille Papela,MF,Sandhausen,22.35068493,1377,22,068,0.18630137,22.18630137
David Otto,FW,St. Pauli,24.23013699,681,24,014,0.038356164,24.03835616
Prince Osei Owusu,FW,Jahn R'burg,26.38082192,1657,26,082,0.224657534,26.22465753
Aaron Opoku,MF,Kaiserslautern,24.16164384,1018,24,164,0.449315068,24.44931507
Aaron Opoku,FW,Hamburger SV,24.16164384,39,24,164,0.449315068,24.44931507
Gaël Ondoua,MF,Hannover 96,27.55616438,50,27,616,1.687671233,28.68767123
Kwasi Okyere Wriedt,FW,Holstein Kiel,28.87671233,1232,28,671,1.838356164,29.83835616
Masaya Okugawa,MF,Arminia,27.11506849,2137,27,507,1.389041096,28.3890411
Chima Okoroji,DF,Sandhausen,26.10136986,1602,26,137,0.375342466,26.37534247
Kelvin Ofori,MF,Paderborn 07,21.83013699,60,21,014,0.038356164,21.03835616
Bastian Oczipka,DF,Arminia,34.36712329,2445,34,712,1.950684932,35.95068493
Philipp Ochs,MF,Sandhausen,26.10684932,957,26,685,1.876712329,27.87671233
